,name,address,brand,open_time,cash_r,cash_h,cash_k,mem_r,mem_h,mem_k
0,セルフMK山科ボウル前SS / エムケイ石油(株),京都府京都市山科区西野楳本町108-3,出光,24時間営業,151,162,131,151,162,131
1,best value station竹田SS / エムケイ石油(株),京都府京都市伏見区竹田中川原町40,その他,24時間営業,151,162,131,151,162,131
2,best value station御室SS / エムケイ石油(株),京都府京都市右京区宇多野馬場町29-1,その他,営業時間 07:00 - 23:00,151,162,131,151,162,131
3,セルフMK醍醐小野SS / エムケイ石油(株),京都府京都市山科区小野西浦47,出光,営業時間 07:00 - 21:00,151,162,131,151,162,131
4,鳥羽SS / 吉田商事(株),京都府京都市伏見区下鳥羽広長町155,出光,営業時間 07:00 - 21:00,151,162,131,151,162,131
5,京都東インターSS / エムケイ石油(株),京都府京都市山科区東野中井ノ上町13-29,出光,24時間営業,151,162,131,151,162,131
6,伏見堀川SS / 吉田商事(株),京都府京都市伏見区治部町101,出光,営業時間 07:00 - 21:00,151,162,131,151,162,131
7,BVE 久世店 / ベストバリューエネルギー(株),京都府京都市南区久世中久町729,丸紅エネルギー,営業時間 08:00 - 22:00,151,162,131,151,162,131
8,BVE 白川店 / ベストバリューエネルギー(株),京都府京都市左京区上高野西氷室町9-1,丸紅エネルギー,営業時間 08:00 - 21:00,151,162,131,151,162,131
9,金閣寺SS / 木村石油(株),京都府京都市北区衣笠天神森町29,ENEOS,営業時間,151,162,131,151,162,131
10,西四条SS / エムケイ石油(株),京都府京都市右京区西院安塚町25,出光,営業時間 07:00 - 21:00,153,164,-,153,164,-
11,西陣SS / エムケイ石油(株),京都府京都市上京区富小路町455,出光,営業時間 07:30 - 20:30,153,164,-,153,164,-
12,深草SS / 吉田商事(株),京都府京都市伏見区深草町通町25,出光,営業時間 07:30 - 21:00,153,164,-,153,164,-
13,上鳥羽SS / エムケイ石油(株),京都府京都市南区上鳥羽北花名町1-1,出光,24時間営業,153,164,-,153,164,-
14,宝ヶ池SS / エムケイ石油(株),京都府京都市左京区岩倉南三宅町61,出光,営業時間 07:30 - 20:00,153,164,-,153,164,-
15,銀閣寺SS / エムケイ石油(株),京都府京都市左京区浄土寺馬場町11-2,出光,営業時間 07:00 - 19:00,153,164,-,153,164,-
16,丸太町SS / 加藤石油(株),京都府京都市右京区花園薮ノ下町3,ENEOS,営業時間 07:30 - 20:00,153,164,-,153,164,-
17,山科SS / (株)東山,京都府京都市山科区御陵大津畑町20,ENEOS,営業時間 08:00 - 19:30,153,164,-,153,164,-
18,セルフMK修学院南SS / エムケイ石油(株),京都府京都市左京区高野泉町17-1,出光,営業時間 07:00 - 24:00,153,164,-,153,164,-
19,千本今出川SS / 浅井石油(株),京都府京都市上京区上善寺町100,コスモ石油,営業時間 08:00 - 20:00,153,164,-,153,164,-
20,Dr.Drive 十条大宮店 / (株)ENEOSフロンティア,京都府京都市南区西九条森本町37,ENEOS,営業時間 07:00 - 20:00,-,-,-,-,-,-
21,Dr.Drive セルフ菱川店 / (株)ENEOSフロンティア,京都府京都市伏見区羽束師菱川町213-1,ENEOS,24時間営業,-,-,-,-,-,-
